Internalid,Lab processing,Airtable technique,Sample type,Container name
9175,Cerba,Other,Serum,Serum Tube
3984,Diag,Microbiology,Body Fluid,Sterile Container
3883,Diag,Microbiology,Nose Pus,Sterile Swab
4463,Cerba,Other,Plasma,EDTA Tube
93998,Diag,POCT,"Nasopharynx Sample,Saliva",Rapid Kit
3952,Diag,Microbiology,Body Fluid,Sterile Swab/50mL Container
4927,Cerba,Other,Urine,50mL Container
8263,Cerba,Other,Bone Marrow,EDTA Tube
7371,Cerba,Other,Plasma,EDTA Tube
10964,Diag,Non-lab Test,,Others
8972,Cerba,Other,Serum,Serum Tube
4431,Medic,Other,Serum,Serum Tube
6662,Cerba,Other,Serum,Serum Tube
4905,Cerba,Other,Whole Blood,EDTA Tube
61481,Vinmec,Other,Nasopharynx Sample,ABT VTM  2mL
9081,Cerba,Other,Serum,Serum Tube
6666,Cerba,Other,Serum,Serum Tube
196949,Diag,Home Collection,,
4822,Cerba,Other,Nasal Swab,Sterile Container
7909,Cerba,Other,Whole Blood,EDTA Tube
10906,Diag,Non-lab Test,,Others
6071,Cerba,Other,Serum,Serum Tube
5669,Cerba,Other,Serum,Serum Tube
172501,Diag,Microbiology,Semen,Sterile Container
7095,Cerba,Other,Whole Blood,EDTA Tube
9686,Cerba,Other,Serum,Serum Tube
9567,Cerba,Other,Cerebrospinal Fluid,Sterile Container
4585,Cerba,Other,Plasma,Heparin Tube
7351,Cerba,Other,Serum,Serum Tube
156965,Diag,Non-lab Test,,
7276,Cerba,Other,Serum,Serum Tube
6803,Cerba,Other,Whole Blood,EDTA Tube
6579,Cerba,Other,Serum,Serum Tube
5276,Cerba,Other,Serum,Serum Tube
4692,Cerba,Other,Whole Blood,EDTA Tube
5188,Cerba,Other,Serum,Serum Tube
8584,Cerba,Other,Serum,Serum Tube
8268,Cerba,Other,Serum,Serum Tube
4956,Cerba,Other,Serum,Serum Tube
4448,Cerba,Other,Serum,Serum Tube
4807,Cerba,Other,Nasal Swab,Sterile Container
9266,Cerba,Other,Serum,Serum Tube
7388,Cerba,Other,Plasma,EDTA Tube
8479,Cerba,Other,Serum,Serum Tube
4661,Cerba,Other,Night Urine,50mL Container
8998,Cerba,Other,Serum,Serum Tube
7966,Cerba,Other,Urine,50mL Container
4979,Cerba,Other,Serum,Serum Tube
401716,Diag,Home Collection,,
4935,Cerba,Other,Serum,Serum Tube
8377,Cerba,Other,Serum,Serum Tube
4198,Diag,Microbiology,Pleural Fluid,Sterile Container
9171,Cerba,Other,Serum,Serum Tube
400185,Cerba,Other,Others,Others
5977,Cerba,Other,Serum,Serum Tube
4272,Diag,Microbiology,Semen,Sterile Container
7257,Cerba,Other,Serum,Serum Tube
6621,Cerba,Other,Serum,Serum Tube
8465,Cerba,Other,Serum,Serum Tube
3868,Diag,Microbiology,Ear Pus,Sterile Swab
4484,Cerba,Other,Serum,Serum Tube
7254,Cerba,Other,Serum,Serum Tube
9889,Cerba,Other,Serum,Serum Tube
5016,Cerba,Other,Cerebrospinal Fluid,Sterile Container
398677,Diag,Biochemistry,Urine,50mL Container
206100,Diag,Allergy,Serum,Serum Tube
9003,Cerba,Other,Serum,Serum Tube
9490,Cerba,Other,Serum,Serum Tube
9029,Cerba,Other,Serum,Serum Tube
8477,Cerba,Other,Serum,Serum Tube
400025,Cerba,Other,Others,Others
8476,Cerba,Other,Whole Blood,EDTA Tube
5262,Cerba,Other,Urine,50mL Container
9174,Cerba,Other,Serum,Serum Tube
4093,Diag,Microbiology,"Pus,Pus Abscess,Semen,Body Fluid",Sterile Swab/50mL Container
4331,Diag,Microbiology,Nose Pus,Sterile Swab
4377,Medic,Other,Serum,Serum Tube
5571,Cerba,Other,Serum,Serum Tube
5042,Cerba,Other,Serum,Serum Tube
9373,Cerba,Other,Plasma,EDTA Tube
4472,Pasteur,Other,Whole Blood,EDTA Tube
6617,Cerba,Other,Whole Blood,EDTA Tube
8905,Cerba,Other,Serum,Serum Tube
10970,Diag,Non-lab Test,Others,Others
9980,Cerba,Other,Tissue,50mL Container
8462,Cerba,Other,Vaginal Swab,50mL Container
5026,Cerba,Other,Serum,Serum Tube
10364,Medic,Other,Others,Others
4615,Cerba,Biochemistry,Whole Blood,EDTA Tube
4737,Cerba,Other,Bone Marrow,EDTA Tube
8080,Cerba,Other,Puncture Fluid,Sterile Container
8783,Cerba,Other,Cerebrospinal Fluid,Sterile Container
6980,Cerba,Other,Whole Blood,Heparin Tube
9875,Diag,Microbiology,"Vaginal Swab,Urethral Swab",Sterile Swab/50mL Container
6796,Cerba,Other,Serum,Serum Tube
7247,Cerba,Other,Stool,Stool Container
5369,Cerba,Other,Serum,Serum Tube
85795,Cerba,Other,Serum,Serum Tube
9389,Cerba,Other,Cerebrospinal Fluid,Sterile Container
4774,Cerba,Other,Semen,Sterile Container
9305,Cerba,Other,Bone Marrow,EDTA Tube
4955,Cerba,Other,Serum,Serum Tube
7007,Cerba,Other,Serum,Serum Tube
8594,Cerba,Other,Serum,Serum Tube
34144,Diag,Microbiology,Peritoneal Fluid,Sterile Container
8588,Cerba,Other,Cerebrospinal Fluid,Sterile Container
9295,Cerba,Other,Whole Blood,EDTA Tube
8689,Cerba,Other,Serum,Serum Tube
7379,Cerba,Other,Urine,50mL Container
9892,Cerba,Other,Serum,Serum Tube
9376,Cerba,Other,Urine,50mL Container
8072,Cerba,Other,Urine,50mL Container
6879,Cerba,Other,Serum,Serum Tube
9663,Cerba,Other,Whole Blood,EDTA Tube
4087,Cerba,Other,Others,Sterile Container
7283,Cerba,Other,Whole Blood,EDTA Tube
6689,Cerba,Other,Serum,Serum Tube
9385,Cerba,Other,Urine,50mL Container
9264,Cerba,Other,Serum,Serum Tube
9967,Cerba,Biochemistry,Serum,Serum Tube
4302,Diag,Microbiology,Throat Swab,Sterile Swab
6597,Cerba,Other,Plasma,EDTA Tube
11026,Diag,Non-lab Test,Others,Others
6217,Cerba,Other,Serum,Serum Tube
1631,Diag,Clinical Pathology,Semen,Sterile Container
4309,Diag,Microbiology,"Pus,Pus Abscess,Semen,Body Fluid",Sterile Swab/50mL Container
6576,Cerba,Other,Serum,Serum Tube
6798,Cerba,Other,Serum,Serum Tube
5894,Cerba,Other,Serum,Serum Tube
10064,Cerba,Other,Serum,Serum Tube
5214,Cerba,Other,Serum,Serum Tube
8194,Cerba,Other,Serum,Serum Tube
6164,Diag,Microbiology,Peritoneal Fluid,Sterile Container
4224,Diag,Hematology,EDTA Whole Blood,EDTA Tube
25311,Diag,Non-lab Test,,Others
7906,Cerba,Other,Serum,Serum Tube
9493,Cerba,Other,Serum,Serum Tube
31429,Diag,Molecular,Synovial Fluid,Sterile Container
7169,Cerba,Other,Amniotic Fluid,Sterile Container
6365,Cerba,Other,Serum,Serum Tube
5372,Cerba,Other,Serum,Serum Tube
7082,Cerba,Other,Plasma,EDTA Tube
175307,GC Labs,Other,Serum,Serum Tube
5564,Cerba,Other,Serum,Serum Tube
7334,Cerba,Other,Plasma,EDTA Tube
7390,Cerba,Other,Bone Marrow,EDTA Tube
6692,Cerba,Other,Serum,Serum Tube
9335,Cerba,Other,24h Urine,3L Container
8595,Cerba,Other,Serum,Serum Tube
5121,Cerba,Molecular,Saliva,Sterile Container
4992,Cerba,Other,Whole Blood,EDTA Tube
12271,Medic,Biochemistry,Cerebrospinal Fluid,Sterile Container
5020,Cerba,Other,Serum,Serum Tube
401721,Diag,Non-lab Test,,
6199,Cerba,Other,Serum,Serum Tube
6628,Cerba,Other,Lymph Node,Sterile Container
11006,Diag,Non-lab Test,Others,Others
4878,Cerba,Other,Serum,Serum Tube
4875,Cerba,Other,Serum,Serum Tube
6231,Cerba,Other,Serum,Serum Tube
7197,Cerba,Other,Serum,Serum Tube
5104,Cerba,Other,Serum,Serum Tube
4899,GC Labs,Other,Stool,Stool Container
10872,Diag,Non-lab Test,Others,Others
6804,Cerba,Other,Serum,Serum Tube
4508,Medic,Other,Serum,Serum Tube
4647,Cerba,Biochemistry,Whole Blood,EDTA Tube
5866,Cerba,Other,Serum,Serum Tube
6772,Cerba,Other,Serum,Serum Tube
4169,Diag,Microbiology,Semen,Sterile Container
397942,Cerba,Other,Others,Others
9802,Cerba,Other,Whole Blood,EDTA Tube
4907,Cerba,Other,Whole Blood,EDTA Tube
400177,Cerba,Other,Others,Others
4655,Cerba,Other,Night Urine,50mL Container
6971,Cerba,Other,Whole Blood,EDTA Tube
3939,Diag,Molecular,Others,Cell VTM (Thinprep)
3955,Diag,Microbiology,Eye Pus,Sterile Swab
3790,Diag,Microbiology,Cerebrospinal Fluid,Sterile Container
8788,Cerba,Other,Whole Blood,EDTA Tube
6625,Cerba,Other,Serum,Serum Tube
11004,Diag,Non-lab Test,,Others
9314,Cerba,Other,Urine,50mL Container
7878,Cerba,Other,Urine,50mL Container
9309,Cerba,Other,Urine,50mL Container
8804,Cerba,Other,Serum,Serum Tube
6992,Cerba,Other,Serum,Serum Tube
7339,Cerba,Other,Plasma,EDTA Tube
9470,Cerba,Other,Serum,Serum Tube
8996,Cerba,Other,Nasal Swab,Sterile Container
8173,Cerba,Other,Plasma,EDTA Tube
10913,Diag,Non-lab Test,Others,Others
8168,Cerba,Other,Whole Blood,EDTA Tube
10962,Diag,Non-lab Test,,Others
7975,Cerba,Other,Serum,Serum Tube
11008,Diag,Non-lab Test,,Others
9485,Cerba,Other,Serum,Serum Tube
7763,Cerba,Other,Serum,Serum Tube
7352,Cerba,Other,24h Urine,3L Container
11003,Diag,Non-lab Test,Others,Others
4990,Cerba,Other,Serum,Serum Tube
8388,Cerba,Other,Bone Marrow,EDTA Tube
5125,Cerba,Other,Serum,Serum Tube
8284,Cerba,Other,Cervical Sample,Slides
9684,Cerba,Other,Serum,Serum Tube
5966,Cerba,Other,Serum,Serum Tube
9566,Cerba,Other,Urine,50mL Container
4455,Medic,ELISA,Serum,Serum Tube
6677,Cerba,Other,Serum,Serum Tube
7881,Cerba,Other,Smear,50mL Container
9667,Cerba,Other,Serum,Serum Tube
4178,Diag,Microbiology,Nose Pus,Sterile Swab
8370,Cerba,Other,Bone Marrow,EDTA Tube
4235,Diag,Microbiology,Cerebrospinal Fluid,Sterile Container
26515,Diag,Non-lab Test,,
8100,Cerba,Other,Whole Blood,EDTA Tube
134831,Diag,Molecular,Cervical Sample,Abbott Kit
6366,Cerba,Other,Serum,Serum Tube
4194,Diag,Microbiology,Cerebrospinal Fluid,Sterile Container
8678,Cerba,Other,Serum,Serum Tube
5880,Cerba,Other,Serum,Serum Tube
6188,Diag,Microbiology,"Sputum,Bronchoalveolar Lavage Fluid",Sterile Container
7993,Cerba,Other,24h Urine,3L Container
8466,Cerba,Other,Serum,Serum Tube
7287,Cerba,Other,Serum,Serum Tube
6881,Cerba,Other,Serum,Serum Tube
6587,Cerba,Other,Serum,Serum Tube
6195,Diag,Microbiology,Body Fluid,Sterile Container
6890,Cerba,Other,Tissue,50mL Container
8980,Cerba,Other,24h Urine,3L Container
6778,Cerba,Other,Serum,Serum Tube
3819,Diag,Microbiology,Nose Pus,50mL Sterile Container/Swab
5079,Cerba,Other,Plasma,EDTA Tube
240416,Gentis,Other,Others,Others
8480,Cerba,Other,Serum,Serum Tube
5115,Cerba,Other,Lymph Node,Sterile Container
4547,Cerba,Other,Serum,Serum Tube
9685,Cerba,Other,Whole Blood,EDTA Tube
8564,Cerba,Other,Serum,Serum Tube
11016,SNIOSH,Non-lab Test,,
7177,Cerba,Other,Serum,Serum Tube
6063,Cerba,Other,Serum,Serum Tube
4329,Diag,Microbiology,"Sputum,Bronchoalveolar Lavage Fluid,Bronchial Secretions,Throat Swab",Sterile Container
10971,Diag,Non-lab Test,Others,Others
240406,Gentis,Non-lab Test,Others,Others
7573,Cerba,Other,Serum,Serum Tube
132929,Diag,Other,Serum,Serum Tube
7321,Cerba,Other,Serum,Serum Tube
92398,Diag,Non-lab Test,,
10563,Medic,Hematology,24h Urine,3L Container
6968,Cerba,Other,Serum,Serum Tube
5103,Cerba,Other,Serum,Serum Tube
8703,Cerba,Other,Whole Blood,EDTA Tube
5888,Cerba,Other,Serum,Serum Tube
9278,Cerba,Other,Serum,Serum Tube
4088,Diag,Microbiology,Ear Pus,Sterile Swab
4781,Cerba,Other,Serum,Serum Tube
8883,Cerba,Other,Urine,50mL Container
9009,Cerba,Other,Serum,Serum Tube
5763,Cerba,Other,Serum,Serum Tube
10974,Diag,Non-lab Test,Others,Others
9067,Cerba,Other,Semen,Sterile Container
3909,Medic,ELISA,Serum,Serum Tube
1841,Diag,Non-lab Test,Others,Others
4856,Cerba,Other,Serum,Serum Tube
7278,Cerba,Other,Plasma,Heparin Tube
10882,Diag,Non-lab Test,,Others
5666,Cerba,Other,Serum,Serum Tube
6993,Cerba,Other,Serum,Serum Tube
4267,Diag,Microbiology,"Sputum,Bronchoalveolar Lavage Fluid,Bronchial Secretions,Throat Swab",Sterile Container
9570,Cerba,Other,Serum,Serum Tube
4643,Cerba,Other,Serum,Serum Tube
6989,Cerba,Other,Serum,Serum Tube
9482,Cerba,Other,Serum,Serum Tube
4532,Medic,Other,Serum,Serum Tube
5195,Cerba,Other,Stool,Stool Container
5170,Cerba,Other,Serum,Serum Tube
4883,Cerba,Other,Urine,50mL Container
5897,Cerba,Other,Serum,Serum Tube
4709,Cerba,Other,Serum,Serum Tube
8267,Cerba,Other,Serum,Serum Tube
89695,Diag,Non-lab Test,,Others
5197,Cerba,Other,Serum,Serum Tube
8063,Cerba,Immunology,Serum,Serum Tube
4714,Cerba,Other,Serum,Serum Tube
9672,Cerba,Other,Serum,Serum Tube
1493,Diag,Molecular,Cervical Sample,Cell VTM (Thinprep)
5868,Cerba,Other,Serum,Serum Tube
4923,Cerba,Other,Serum,Serum Tube
8285,Cerba,Other,Serum,Serum Tube
9586,Cerba,Other,Amniotic Fluid,Sterile Container
4998,Cerba,Other,Whole Blood,EDTA Tube
5085,Cerba,Other,Serum,Serum Tube
10881,Diag,Non-lab Test,,Others
6183,Diag,Microbiology,Synovial Fluid,Sterile Container
8699,Cerba,Other,Night Urine,50mL Container
8189,Cerba,Other,Fetal Blood,Heparin Tube
5970,Cerba,Other,Serum,Serum Tube
3769,Diag,Microbiology,Semen,Sterile Container
9484,Cerba,Other,Whole Blood,EDTA Tube
5050,Cerba,Other,Plasma,EDTA Tube
6696,Cerba,Other,Serum,Serum Tube
10990,Diag,Non-lab Test,,Others
6079,Cerba,Other,Serum,Serum Tube
4789,Cerba,Other,Plasma,EDTA Tube
110511,Diag,Non-lab Test,,Others
4527,Cerba,Other,Serum,Serum Tube
3898,Diag,Molecular,Cervical Sample,Cell VTM (Thinprep)
7384,Cerba,Other,Serum,Serum Tube
9564,Cerba,Other,Vaginal Swab,50mL Container
4063,Diag,Microbiology,Pleural Fluid,Sterile Container
8991,Cerba,Other,Serum,Serum Tube
8179,Cerba,Other,Cerebrospinal Fluid,Sterile Container
8864,Cerba,Other,Serum,Serum Tube
166197,Diag,Immunology,Plasma,EDTA Tube
4906,Cerba,Other,Whole Blood,EDTA Tube
5069,Cerba,Other,Serum,Serum Tube
4872,Cerba,Other,Urine,50mL Container
8082,Cerba,Other,Puncture Fluid,Sterile Container
28109,Diag,Non-lab Test,,Others
8585,Cerba,Molecular,Sputum,Sterile Container
400398,Diag,Non-lab Test,,
6795,Cerba,Other,Serum,Serum Tube
7364,Cerba,Other,Plasma,EDTA Tube
9599,Cerba,Other,Urine,50mL Container
4390,Cerba,Other,Serum,Serum Tube
397717,Cerba,Other,Others,Others
87695,Diag,Home Collection,,Others
8062,Cerba,Other,Semen,Sterile Container
41463,Diag,Non-lab Test,,Others
8495,Cerba,Other,Serum,Serum Tube
4934,Cerba,Other,Bone Marrow,EDTA Tube
4693,Cerba,Other,Serum,Serum Tube
7872,Cerba,Other,Cerebrospinal Fluid,Sterile Container
6569,Cerba,Other,Serum,Serum Tube
7773,Cerba,Other,Urine,50mL Container
4074,Diag,Microbiology,Peritoneal Fluid,Sterile Container
7176,Cerba,Other,Bone Marrow,EDTA Tube
4969,Cerba,Other,Nasal Swab,Sterile Container
205987,Diag,Hematology,"Cord Blood,Whole Blood",EDTA Tube
7583,Cerba,Other,Serum,Serum Tube
8075,Cerba,Other,Whole Blood,EDTA Tube
4677,Cerba,Other,Amniotic Fluid,Sterile Container
8293,Cerba,Other,Slides,50mL Container
8777,Cerba,Other,Serum,Serum Tube
7357,Cerba,Other,Whole Blood,EDTA Tube
4814,Cerba,Other,24h Urine,3L Container
7793,Cerba,Other,Whole Blood,EDTA Tube
5667,Cerba,Other,Serum,Serum Tube
8196,Cerba,Other,Semen,Sterile Container
6571,Cerba,Other,Serum,Serum Tube
9280,Cerba,Other,Serum,Serum Tube
4738,Cerba,Other,Serum,Serum Tube
7475,Cerba,Other,Night Urine,50mL Container
9302,Cerba,Other,Serum,Serum Tube
9577,Cerba,Other,Serum,Serum Tube
4271,Diag,Microbiology,Urethral Swab,Sterile Swab
206397,Diag,Biochemistry,Urine,50mL Container
6671,Cerba,Other,Serum,Serum Tube
25307,Diag,Non-lab Test,,Others
10984,Diag,Non-lab Test,,Others
6271,Cerba,Other,Serum,Serum Tube
7072,Cerba,Other,Cerebrospinal Fluid,Sterile Container
4415,Medic,Other,Serum,Serum Tube
8970,Cerba,Other,Serum,Serum Tube
67288,Diag,Home Collection,,Others
7250,Cerba,Other,Serum,Serum Tube
9321,Cerba,Other,Serum,Serum Tube
4761,Cerba,Other,Serum,Serum Tube
5562,Cerba,Other,Serum,Serum Tube
8789,Cerba,Other,Serum,Serum Tube
10966,Diag,Non-lab Test,,Others
9096,Cerba,Other,Cerebrospinal Fluid,Sterile Container
7178,Cerba,Other,Night Urine,50mL Container
10983,Diag,Non-lab Test,Others,Others
9080,Cerba,Other,Serum,Serum Tube
8779,Cerba,Other,24h Urine,3L Container
7562,Cerba,Other,Slides,50mL Container
34141,Diag,Microbiology,Peritoneal Fluid,Sterile Container
6583,Cerba,Other,Serum,Serum Tube
9071,Cerba,Other,Serum,Serum Tube
9775,Cerba,Other,Serum,Serum Tube
25313,Diag,Non-lab Test,,Others
7876,Cerba,Other,Serum,Serum Tube
5665,Cerba,Other,Serum,Serum Tube
5362,Cerba,Other,Serum,Serum Tube
7698,Cerba,Other,Serum,Serum Tube
9680,Cerba,Other,Serum,Serum Tube
4597,Cerba,Other,Amniotic Fluid,Sterile Container
400412,Diag,Non-lab Test,,
1437,Diag,Immunology,Others,Others
146441,Diag,Electrophoresis (HPLC),EDTA Whole Blood,EDTA Tube
8971,Cerba,Other,Urine,50mL Container
7893,Cerba,Other,Plasma,Heparin Tube
4754,Cerba,Other,Stool,Stool Container
11014,Diag,Non-lab Test,Others,Others
9591,Cerba,Other,Serum,Serum Tube
181523,Diag,Molecular,"Vaginal Swab,Urethral Swab,Urine",Sterile Swab/50mL Container
25308,Diag,Non-lab Test,,Others
9475,Cerba,Other,24h Urine,3L Container
9177,Cerba,Other,Urine,50mL Container
9316,Cerba,Other,Whole Blood,EDTA Tube
6592,Cerba,Other,Serum,Serum Tube
9573,Cerba,Other,Plasma,Heparin Tube
9709,Cerba,Other,Whole Blood,EDTA Tube
87694,Diag,Home Collection,,
131526,Diag,Non-lab Test,,Others
3976,Diag,Microbiology,Ear Pus,50mL Sterile Container/Swab
9162,Cerba,Other,Plasma,Heparin Tube
6781,Cerba,Other,Whole Blood,EDTA Tube
9006,Cerba,Other,Serum,Serum Tube
10866,Diag,Non-lab Test,,Others
8367,Cerba,Other,Serum,Serum Tube
8483,Cerba,Other,Serum,Serum Tube
7302,Cerba,Other,Amniotic Fluid,Sterile Container
4943,Cerba,Other,Serum,Serum Tube
4948,Cerba,Other,Serum,Serum Tube
9193,Cerba,Other,Serum,Serum Tube
9168,Cerba,Other,Serum,Serum Tube
7474,Cerba,Other,Plasma,EDTA Tube
400631,Diag,Non-lab Test,,
7581,Cerba,Other,Slides,50mL Container
6701,Cerba,Other,Serum,Serum Tube
9042,Cerba,Other,Night Urine,50mL Container
4393,Cerba,Other,Serum,Serum Tube
4911,Cerba,Other,Whole Blood,Heparin Tube
9279,Cerba,Other,Serum,Serum Tube
1597,Diag,Allergy,Serum,Serum Tube
8988,Cerba,Other,Serum,Serum Tube
4673,Cerba,Other,Bone Marrow,EDTA Tube
6223,Cerba,Other,Serum,Serum Tube
1469,Diag,Biochemistry,24h Urine,3L Container
6777,Cerba,Other,Serum,Serum Tube
6986,Cerba,Other,Night Urine,50mL Container
9328,Cerba,Other,Amniotic Fluid,Sterile Container
9097,Cerba,Other,Serum,Serum Tube
399092,Cerba,Other,Others,Others
7965,Cerba,Other,Nasal Swab,Sterile Container
6599,Cerba,Other,Serum,Serum Tube
4688,Cerba,Other,Serum,Serum Tube
11015,Diag,Non-lab Test,,
6216,Cerba,Other,Serum,Serum Tube
3860,Diag,Microbiology,Body Fluid,Sterile Swab/50mL Container
7764,Cerba,Other,Whole Blood,EDTA Tube
4487,Cerba,Other,Whole Blood,EDTA Tube
6065,Cerba,Other,Serum,Serum Tube
9195,Cerba,Other,Serum,Serum Tube
9803,Cerba,Other,Bone Marrow,EDTA Tube
4237,Diag,Microbiology,Nose Pus,50mL Sterile Container/Swab
